case_id	title_zh	modelwhale_project	url
288	指派问题	6ab46ec863ee0a810cbd9db1	https://www.heywhale.com/mw/project/6ab46ec863ee0a810cbd9db1
286	木材切割问题	6ab46ed443566c5edd2d04dc	https://www.heywhale.com/mw/project/6ab46ed443566c5edd2d04dc
277	汇池问题	6ab46ee2afd6585857820df5	https://www.heywhale.com/mw/project/6ab46ee2afd6585857820df5
272	影院排片优化	6ab46efd63ee0a810cbda225	https://www.heywhale.com/mw/project/6ab46efd63ee0a810cbda225
268	车间作业调度问题	6ab46f0f43566c5edd2d09da	https://www.heywhale.com/mw/project/6ab46f0f43566c5edd2d09da
264	生产计划与灵敏度分析	6ab475deafd6585857830515	https://www.heywhale.com/mw/project/6ab475deafd6585857830515
261	海外油气效益产量优化问题	6ab475e363ee0a810cbe9079	https://www.heywhale.com/mw/project/6ab475e363ee0a810cbe9079
256	仓网布局问题	6ab475e9afd6585857830863	https://www.heywhale.com/mw/project/6ab475e9afd6585857830863
258	生鲜定价与供应决策优化问题	6ab475ef63ee0a810cbe937f	https://www.heywhale.com/mw/project/6ab475ef63ee0a810cbe937f
253	安全约束机组组合问题	6ab475f6afd6585857830b03	https://www.heywhale.com/mw/project/6ab475f6afd6585857830b03
250	绩效评估问题	6ab473fcafd658585782a7f8	https://www.heywhale.com/mw/project/6ab473fcafd658585782a7f8
240	零碳孤岛的风光储氢协同优化	6ab4743563ee0a810cbe3b90	https://www.heywhale.com/mw/project/6ab4743563ee0a810cbe3b90
224	曲线拟合问题	6ab45c987b8f5f13ecc1275a	https://www.heywhale.com/mw/project/6ab45c987b8f5f13ecc1275a
223	蛋白质氨基酸链折叠问题	6ab4747a43566c5edd2dbaea	https://www.heywhale.com/mw/project/6ab4747a43566c5edd2dbaea
215	农田轮播排产问题	6ab4749cafd658585782c46b	https://www.heywhale.com/mw/project/6ab4749cafd658585782c46b
214	集合覆盖问题	6ab474a843566c5edd2dc4f0	https://www.heywhale.com/mw/project/6ab474a843566c5edd2dc4f0
213	人员培训计划	6ab474b563ee0a810cbe568e	https://www.heywhale.com/mw/project/6ab474b563ee0a810cbe568e
212	客户门店分配问题	6ab474c163ee0a810cbe5abb	https://www.heywhale.com/mw/project/6ab474c163ee0a810cbe5abb
211	轨迹平滑优化	6ab474ccafd658585782d7d2	https://www.heywhale.com/mw/project/6ab474ccafd658585782d7d2
209	电路互连延迟优化	6ab474fe43566c5edd2dd7f9	https://www.heywhale.com/mw/project/6ab474fe43566c5edd2dd7f9
208	二分类逻辑回归	6ab475fc63ee0a810cbe9681	https://www.heywhale.com/mw/project/6ab475fc63ee0a810cbe9681
204	0-1背包问题	6ab4760363ee0a810cbe9938	https://www.heywhale.com/mw/project/6ab4760363ee0a810cbe9938
201	自动取款机现金管理模型	6ab4760cafd6585857831089	https://www.heywhale.com/mw/project/6ab4760cafd6585857831089
200	风险平价模型	6ab4761343566c5edd2e426a	https://www.heywhale.com/mw/project/6ab4761343566c5edd2e426a
198	指数追踪投资组合	6ab4761963ee0a810cbe9efe	https://www.heywhale.com/mw/project/6ab4761963ee0a810cbe9efe
43	选课问题	6ab4762843566c5edd2e4823	https://www.heywhale.com/mw/project/6ab4762843566c5edd2e4823
54	三维井字棋游戏	6ab4770843566c5edd2e76e9	https://www.heywhale.com/mw/project/6ab4770843566c5edd2e76e9
64	数独游戏	6ab462f097e1f9392b2950bc	https://www.heywhale.com/mw/project/6ab462f097e1f9392b2950bc
130	线性回归	6ab4770dafd658585783764f	https://www.heywhale.com/mw/project/6ab4770dafd658585783764f
65	旅行商问题	6ab47713afd6585857837891	https://www.heywhale.com/mw/project/6ab47713afd6585857837891
